post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47640728,Show HN: A game where you build a GPU,technology,410,121,Jaso1024,2026-04-04 18:18:29,0.2944038929440389,True
47637757,Embarrassingly simple self-distillation improves code generation,technology,507,159,Anon84,2026-04-04 18:18:30,0.31299212598425197,True
47640875,"LLM Wiki – example of an ""idea file""",technology,12,2,tamnd,2026-04-04 18:18:31,0.15384615384615385,False
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,19,2,kaipereira,2026-04-04 18:18:31,0.1,False
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,123,4,teamchong,2026-04-04 18:18:32,0.03225806451612903,False
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,316,143,naves,2026-04-04 18:18:32,0.45110410094637227,True
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",technology,102,61,jrandolf,2026-04-04 18:18:33,0.5922330097087378,False
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,342,223,eichin,2026-04-04 18:18:37,0.6501457725947521,True
47606244,Training mRNA Language Models Across 25 Species for $165,technology,99,27,maziyar,2026-04-04 18:18:38,0.27,False
47641615,Sopwith – 1984 Game (2000),sports,67,32,elvis70,2026-04-04 18:18:41,0.47058823529411764,False
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1019,771,firloop,2026-04-04 18:18:43,0.7558823529411764,True
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,140,98,pseudolus,2026-04-04 18:18:43,0.6950354609929078,False
47641788,Iranian missile blitz takes down AWS data centers in Bahrain and Dubai,technology,121,113,lschueller,2026-04-04 18:18:44,0.9262295081967213,False
47633131,"Run Linux containers on Android, no root required",technology,206,77,politelemon,2026-04-04 18:18:46,0.3719806763285024,True
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,6,1,laszlokorte,2026-04-04 18:18:48,0.14285714285714285,False
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",entertainment,26,5,xbmcuser,2026-04-04 18:18:49,0.18518518518518517,False
